,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file_x,combined_address_x,ADDRESS_V1,fuzzy_match,match_confidence,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file_y,combined_address_y,_merge
650,C6209F5E-EAB5-295E-E053-6C04A8C0DDCC,570000,2021-03-30,HP13 5QH,D,N,F,nan,THE SPINNEY,GREEN HILL,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/C6209F5E-EAB5-295E-E053-6C04A8C0DDCC/current,./data-land_registry/HP13-march2020-to-nov2025.csv,the spinney green hill nan hp13 5qh,THE SPINNEY GREEN HILL HP13 5QH,the spinney green hill high wycombe hp13 5qh,81.0126582278481,b2f491aa71fc9aea76957a3c48deec352101ff95b995b3a85cb7fac1073d6496,THE SPINNEY,GREEN HILL,HIGH WYCOMBE,HP13 5QH,10000563090.0,D,C,61.0,79.0,House,Detached,2020-10-21,E06000060,E14001056,,2020-10-21,marketed sale,53.0,74.0,232.0,114.0,5.9,43.0,3.0,99.0,99.0,1009.0,700.0,137.0,84.0,137.0,off-peak 7 hour,Y,,,,,95.0,double glazing installed during or after 2002,Normal,2.0,7.0,7.0,94.0,1.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Mostly double glazing,Good,Good,"Cavity wall, filled cavity",Average,Average,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 94% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.44,0.0,N,natural,"THE SPINNEY, GREEN HILL, HIGH WYCOMBE",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1930-1949,2020-10-21 00:00:00,Owner-occupied,16.0,15.0,100081091326.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,the spinney green hill high wycombe hp13 5qh,both
933,C18F412A-85B8-81A6-E053-6B04A8C0AD18,335000,2021-04-07,HP13 5TY,T,N,F,nan,7,TAYLORS TURN,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/C18F412A-85B8-81A6-E053-6B04A8C0AD18/current,./data-land_registry/HP13-march2020-to-nov2025.csv,7 taylors turn nan hp13 5ty,7 TAYLORS TURN HP13 5TY,3 taylors turn downley hp13 5ty,82.75862068965517,626538449042011050914065781690118,"3, Taylors Turn",Downley,,HP13 5TY,6025846868.0,D,C,64.0,73.0,House,Mid-Terrace,2011-05-09,E07000007,E14001056,Buckinghamshire,2011-05-09,marketed sale,62.0,73.0,227.0,160.0,3.6,44.0,2.6,65.0,43.0,505.0,412.0,171.0,103.0,83.06,Single,Y,NODATA!,,,2104.0,100.0,double glazing installed before 2002,Normal,0.0,4.0,4.0,50.0,0.0,From main system,Average,Average,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,"Room heaters, mains gas",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 50% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,2.33,0.0,,natural,"3, Taylors Turn, Downley",Wycombe,Wycombe,HIGH WYCOMBE,England and Wales: 1967-1975,2011-05-09 14:06:57,owner-occupied,16.0,8.0,100080552714.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,3 taylors turn downley hp13 5ty,both
965,DE2D0CDF-58A1-51EE-E053-6C04A8C00671,440000,2022-03-21,HP13 5UG,S,N,F,nan,48,GRAYS LANE,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/DE2D0CDF-58A1-51EE-E053-6C04A8C00671/current,./data-land_registry/HP13-march2020-to-nov2025.csv,48 grays lane nan hp13 5ug,48 GRAYS LANE HP13 5UG,42 grays lane downley hp13 5ug,82.14285714285714,895946899702013042214142906570818,"42, Grays Lane",Downley,,HP13 5UG,7790695078.0,D,B,62.0,82.0,House,Semi-Detached,2013-03-09,E07000007,E14001056,Buckinghamshire,2013-04-22,none of the above,58.0,80.0,219.0,97.0,4.4,42.0,2.0,95.0,54.0,558.0,437.0,266.0,165.0,105.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,1.0,5.0,5.0,25.0,1.0,"From main system, no cylinder thermostat",Average,Average,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, with internal insulation",Good,Good,,,,"Pitched, 50mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"42, Grays Lane, Downley",Wycombe,Wycombe,HIGH WYCOMBE,England and Wales: 1967-1975,2013-04-22 14:14:29,owner-occupied,12.0,3.0,100080535471.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,42 grays lane downley hp13 5ug,both
1000,FD226035-8B09-4CB7-E053-4804A8C00430,460000,2022-11-25,HP13 5UQ,S,N,F,nan,2,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/FD226035-8B09-4CB7-E053-4804A8C00430/current,./data-land_registry/HP13-march2020-to-nov2025.csv,2 sunny croft nan hp13 5uq,2 SUNNY CROFT HP13 5UQ,2 sunnycroft downley hp13 5uq,83.63636363636364,d39a474048dcc9037ae11896f47dcbe7bb56cc7d5275fd6a1456c8a0c8c76e2b,2 Sunnycroft,Downley,,HP13 5UQ,10002631387.0,D,B,61.0,86.0,House,Semi-Detached,2022-06-29,E06000060,E14001056,,2022-06-29,marketed sale,54.0,84.0,285.0,84.0,4.2,50.0,1.3,71.0,71.0,651.0,396.0,143.0,67.0,84.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,1.0,5.0,5.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.35,0.0,N,natural,"2 Sunnycroft, Downley",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1950-1966,2022-06-29 14:51:11,Owner-occupied,11.0,,100080552342.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,2 sunnycroft downley hp13 5uq,both
1001,2D4D7608-A57F-BDF9-E063-4804A8C0672F,680000,2024-08-02,HP13 5UQ,D,N,F,nan,7,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7608-A57F-BDF9-E063-4804A8C0672F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,7 sunny croft nan hp13 5uq,7 SUNNY CROFT HP13 5UQ,7 sunnycroft downley hp13 5uq,83.63636363636364,48964427b34f5e1c3ce2a1c7dde9f1f40cc3089a65392d7dc77724012a3a970d,7 Sunnycroft,Downley,,HP13 5UQ,10003483476.0,D,B,67.0,82.0,House,Detached,2022-09-26,E06000060,E14001056,,2022-10-08,marketed sale,62.0,78.0,204.0,109.0,4.9,36.0,2.7,176.0,101.0,763.0,619.0,124.0,82.0,137.0,Single,Y,,,,,100.0,double glazing installed before 2002,Normal,0.0,7.0,7.0,25.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 150 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas (not community),0.0,,,2.4,0.0,N,natural,"7 Sunnycroft, Downley",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1967-1975,2022-10-08 09:41:03,Owner-occupied,20.0,,100080552347.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,7 sunnycroft downley hp13 5uq,both
1002,B82222EC-813E-6691-E053-6B04A8C02FB2,550000,2020-10-02,HP13 5UQ,D,N,F,nan,23,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/B82222EC-813E-6691-E053-6B04A8C02FB2/current,./data-land_registry/HP13-march2020-to-nov2025.csv,23 sunny croft nan hp13 5uq,23 SUNNY CROFT HP13 5UQ,23 sunnycroft downley hp13 5uq,84.21052631578947,1198470439842014090215002121740328,"23, Sunnycroft",Downley,,HP13 5UQ,5859537278.0,D,C,55.0,78.0,House,Detached,2014-09-02,E07000007,E14001056,Buckinghamshire,2014-09-02,none of the above,50.0,75.0,259.0,121.0,5.9,50.0,2.8,105.0,66.0,1112.0,750.0,139.0,93.0,119.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,1.0,5.0,5.0,40.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 40% of fixed outlets,Average,Average,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"23, Sunnycroft, Downley",Wycombe,Wycombe,HIGH WYCOMBE,England and Wales: 1967-1975,2014-09-02 15:00:21,owner-occupied,10.0,4.0,100080552363.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,23 sunnycroft downley hp13 5uq,both
1003,B82222EC-813E-6691-E053-6B04A8C02FB2,550000,2020-10-02,HP13 5UQ,D,N,F,nan,23,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/B82222EC-813E-6691-E053-6B04A8C02FB2/current,./data-land_registry/HP13-march2020-to-nov2025.csv,23 sunny croft nan hp13 5uq,23 SUNNY CROFT HP13 5UQ,23 sunnycroft downley hp13 5uq,84.21052631578947,1198470445952019082311171793210528,"23, Sunnycroft",Downley,,HP13 5UQ,5859537278.0,C,B,72.0,84.0,House,Detached,2019-08-21,E07000007,E14001056,Buckinghamshire,2019-08-23,marketed sale,68.0,80.0,176.0,98.0,3.7,31.0,2.1,80.0,80.0,599.0,537.0,136.0,83.0,120.0,Single,Y,NODATA!,,,2106.0,100.0,"double glazing, unknown install date",Normal,1.0,7.0,7.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,,,,"Pitched, insulated (assumed)",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"23, Sunnycroft, Downley",Wycombe,Wycombe,HIGH WYCOMBE,England and Wales: 1983-1990,2019-08-23 11:17:17,owner-occupied,,,100080552363.0,Address Matched,100.0,data-epc/domestic-E07000007-Wycombe/certificates.csv,23 sunnycroft downley hp13 5uq,both
1004,DBA933F8-FC58-669D-E053-6B04A8C0AD56,575000,2021-09-30,HP13 5UR,D,N,F,nan,20,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/DBA933F8-FC58-669D-E053-6B04A8C0AD56/current,./data-land_registry/HP13-march2020-to-nov2025.csv,20 sunny croft nan hp13 5ur,20 SUNNY CROFT HP13 5UR,20 sunnycroft downley hp13 5ur,84.21052631578947,78fed55edec4b3869b5a0a9b64f2369d7465c37030e5a5986e505970d2aa006e,20 SUNNYCROFT,DOWNLEY,,HP13 5UR,10000994393.0,D,B,64.0,82.0,House,Detached,2021-06-29,E06000060,E14001056,,2021-06-30,marketed sale,56.0,78.0,223.0,98.0,5.6,41.0,2.6,95.0,95.0,953.0,641.0,146.0,75.0,138.0,Single,Y,,,,,100.0,double glazing installed during or after 2002,Normal,3.0,7.0,7.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, partial insulation (assumed)",Average,Average,"Room heaters, dual fuel (mineral and wood)",,,"Pitched, 250 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.41,0.0,N,natural,"20 SUNNYCROFT, DOWNLEY",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1976-1982,2021-06-30 14:19:58,Owner-occupied,20.0,,100080552360.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,20 sunnycroft downley hp13 5ur,both
1005,34222871-FEA5-4D2B-E063-4704A8C07853,650000,2025-03-10,HP13 5UR,D,N,F,nan,28,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222871-FEA5-4D2B-E063-4704A8C07853/current,./data-land_registry/HP13-march2020-to-nov2025.csv,28 sunny croft nan hp13 5ur,28 SUNNY CROFT HP13 5UR,28 sunnycroft downley hp13 5ur,84.21052631578947,8c83bc3bf3463895fa78f455903066540f04694e6e0c75f459484b9ccf5d6dbc,28 Sunnycroft,Downley,,HP13 5UR,10006019813.0,C,B,71.0,84.0,House,Detached,2024-05-01,E06000060,E14001056,,2024-05-02,marketed sale,66.0,81.0,182.0,94.0,4.1,32.0,2.2,150.0,150.0,1214.0,982.0,280.0,160.0,128.0,Single,Y,,,,,100.0,"double glazing, unknown install date",Normal,1.0,6.0,6.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,,,,"Pitched, 50 mm loft insulation",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,,,2.34,0.0,N,natural,"28 Sunnycroft, Downley",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1976-1982,2024-05-02 12:51:57,Owner-occupied,23.0,,100080552368.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,28 sunnycroft downley hp13 5ur,both
1006,152AB733-88F5-E651-E063-4704A8C061D9,703000,2023-10-31,HP13 5UR,D,N,F,nan,34,SUNNY CROFT,DOWNLEY,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/152AB733-88F5-E651-E063-4704A8C061D9/current,./data-land_registry/HP13-march2020-to-nov2025.csv,34 sunny croft nan hp13 5ur,34 SUNNY CROFT HP13 5UR,34 sunnycroft downley hp13 5ur,84.21052631578947,77f001c3b6d8972591730ad105191ac717dd5ae0787e1c37be0a9cf008cf42b7,34 Sunnycroft,Downley,,HP13 5UR,10003760438.0,D,B,64.0,84.0,House,Detached,2022-12-15,E06000060,E14001056,,2022-12-20,marketed sale,56.0,81.0,233.0,92.0,5.3,41.0,2.1,160.0,98.0,782.0,536.0,172.0,74.0,129.0,Single,Y,,,,,100.0,double glazing installed before 2002,Normal,0.0,7.0,7.0,38.0,0.0,From main system,Average,Average,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, filled cavity",Good,Good,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 38% of fixed outlets,Average,Average,mains gas (not community),0.0,,,2.4,0.0,N,natural,"34 Sunnycroft, Downley",Buckinghamshire,Wycombe,HIGH WYCOMBE,England and Wales: 1976-1982,2022-12-20 10:29:55,Owner-occupied,16.0,,100080552374.0,Energy Assessor,100.0,data-epc/domestic-E06000060-Buckinghamshire/certificates.csv,34 sunnycroft downley hp13 5ur,both
