,LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,CURRENT_ENERGY_EFFICIENCY,POTENTIAL_ENERGY_EFFICIENCY,PROPERTY_TYPE,BUILT_FORM,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,TRANSACTION_TYPE,ENVIRONMENT_IMPACT_CURRENT,ENVIRONMENT_IMPACT_POTENTIAL,ENERGY_CONSUMPTION_CURRENT,ENERGY_CONSUMPTION_POTENTIAL,CO2_EMISSIONS_CURRENT,CO2_EMISS_CURR_PER_FLOOR_AREA,CO2_EMISSIONS_POTENTIAL,LIGHTING_COST_CURRENT,LIGHTING_COST_POTENTIAL,HEATING_COST_CURRENT,HEATING_COST_POTENTIAL,HOT_WATER_COST_CURRENT,HOT_WATER_COST_POTENTIAL,TOTAL_FLOOR_AREA,ENERGY_TARIFF,MAINS_GAS_FLAG,FLOOR_LEVEL,FLAT_TOP_STOREY,FLAT_STOREY_COUNT,MAIN_HEATING_CONTROLS,MULTI_GLAZE_PROPORTION,GLAZED_TYPE,GLAZED_AREA,EXTENSION_COUNT,NUMBER_HABITABLE_ROOMS,NUMBER_HEATED_ROOMS,LOW_ENERGY_LIGHTING,NUMBER_OPEN_FIREPLACES,HOTWATER_DESCRIPTION,HOT_WATER_ENERGY_EFF,HOT_WATER_ENV_EFF,FLOOR_DESCRIPTION,FLOOR_ENERGY_EFF,FLOOR_ENV_EFF,WINDOWS_DESCRIPTION,WINDOWS_ENERGY_EFF,WINDOWS_ENV_EFF,WALLS_DESCRIPTION,WALLS_ENERGY_EFF,WALLS_ENV_EFF,SECONDHEAT_DESCRIPTION,SHEATING_ENERGY_EFF,SHEATING_ENV_EFF,ROOF_DESCRIPTION,ROOF_ENERGY_EFF,ROOF_ENV_EFF,MAINHEAT_DESCRIPTION,MAINHEAT_ENERGY_EFF,MAINHEAT_ENV_EFF,MAINHEATCONT_DESCRIPTION,MAINHEATC_ENERGY_EFF,MAINHEATC_ENV_EFF,LIGHTING_DESCRIPTION,LIGHTING_ENERGY_EFF,LIGHTING_ENV_EFF,MAIN_FUEL,WIND_TURBINE_COUNT,HEAT_LOSS_CORRIDOR,UNHEATED_CORRIDOR_LENGTH,FLOOR_HEIGHT,PHOTO_SUPPLY,SOLAR_WATER_HEATING_FLAG,MECHANICAL_VENTILATION,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,POSTTOWN,CONSTRUCTION_AGE_BAND,LODGEMENT_DATETIME,TENURE,FIXED_LIGHTING_OUTLETS_COUNT,LOW_ENERGY_FIXED_LIGHT_COUNT,UPRN,UPRN_SOURCE,REPORT_TYPE,source_file
0,509075769602010070514280374700258,Oldbury Court,Houston Way,,RG45 6BY,6689367768,D,C,58,70,House,Detached,2010-07-05,E06000041,E14000586,,2010-07-05,rental (private),56,69,236,168.0,14.0,37,10.0,273.0,219.0,2230.0,1615.0,303.0,216.0,214.08,Single,Y,NO DATA!,,,2104.0,100.0,double glazing installed before 2002,Normal,1.0,10.0,10.0,75.0,2.0,From main system,Average,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, insulated (assumed)",Good,Good,"Room heaters, wood logs",,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Average,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.35,0.0,N,natural,"Oldbury Court, Houston Way",Wokingham,Bracknell,CROWTHORNE,England and Wales: 1983-1990,2010-07-05 14:28:03,rental (private),,,14047492.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
1,825484589922012081523401030158582,"32, Jersey Drive",Winnersh,,RG41 5FR,8309890078,C,B,78,89,House,Mid-Terrace,2012-08-15,E06000041,E14001048,,2012-08-15,rental (private),79,90,112,46.0,2.3,21,1.0,104.0,59.0,348.0,357.0,110.0,71.0,110.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed during or after 2002,Normal,0.0,4.0,4.0,25.0,0.0,From main system,Good,Good,"Solid, insulated (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, as built, insulated (assumed)",Good,Good,,,,"Pitched, 200 mm loft insulation",Good,Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 25% of fixed outlets,Average,Average,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"32, Jersey Drive, Winnersh",Wokingham,Wokingham,WOKINGHAM,England and Wales: 2003-2006,2012-08-15 23:40:10,rental (private),12.0,3.0,10032927315.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
2,308522336512020052719593725200865,"5, Mount Pleasant",,,RG41 2YG,8588653668,E,B,43,87,House,Mid-Terrace,2020-05-27,E06000041,E14001048,,2020-05-27,rental (private),38,87,491,73.0,4.5,87,0.7,55.0,55.0,621.0,326.0,278.0,62.0,52.0,Unknown,Y,NODATA!,,,2107.0,60.0,"double glazing, unknown install date",Normal,1.0,3.0,3.0,75.0,1.0,"From main system, no cylinder thermostat",Poor,Poor,"Suspended, no insulation (assumed)",NO DATA!,,Partial double glazing,Poor,Poor,"Solid brick, as built, no insulation (assumed)",Very Poor,Very Poor,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Average,Average,"Programmer, TRVs and bypass",Average,Average,Low energy lighting in 75% of fixed outlets,Very Good,Very Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"5, Mount Pleasant",Wokingham,Wokingham,WOKINGHAM,England and Wales: before 1900,2020-05-27 19:59:37,rental (private),,,14046188.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
3,1400255992812016022517164196949049,"10, Grazeley Road",Three Mile Cross,,RG7 1BJ,970261478,B,A,83,95,House,NO DATA!,2014-12-11,E06000041,E14001048,,2016-02-25,new dwelling,85,96,93,11.0,1.4,16,0.2,59.0,59.0,241.0,242.0,106.0,56.0,88.0,standard tariff,,NO DATA!,,,,,NO DATA!,NO DATA!,,,,,0.0,From main system,Good,Good,Average thermal transmittance 0.17 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.20 W/m-¦K,Very Good,Very Good,,,,Average thermal transmittance 0.11 W/m-¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"10, Grazeley Road, Three Mile Cross",Wokingham,Wokingham,READING,NO DATA!,2016-02-25 17:16:41,unknown,20.0,20.0,10024046516.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
4,532780989652010082610135392200777,"2, Chilcombe Way",Lower Earley,,RG6 3DA,7744929768,D,C,68,76,House,End-Terrace,2010-08-25,E06000041,E14001048,,2010-08-26,marketed sale,64,72,286,225.0,2.7,48,2.1,58.0,29.0,436.0,361.0,80.0,80.0,57.17,Single,Y,NO DATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,0.0,4.0,4.0,0.0,0.0,From main system,Very Good,Very Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, partial insulation (assumed)",Average,Average,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Very Good,Very Good,"Programmer, room thermostat and TRVs",Good,Good,No low energy lighting,Very Poor,Very Poor,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.31,0.0,N,natural,"2, Chilcombe Way, Lower Earley",Wokingham,Wokingham,READING,England and Wales: 1976-1982,2010-08-26 10:13:53,owner-occupied,,,14018576.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
5,288951681312010111213444992909568,"35, Welby Crescent",Winnersh,,RG41 5SW,5821122668,E,C,46,70,House,Detached,2010-11-12,E06000041,E14001048,,2010-11-12,rental (private),41,66,392,211.0,7.7,66,4.1,122.0,71.0,1061.0,630.0,253.0,129.0,117.28,dual,Y,NO DATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,1.0,7.0,7.0,28.0,0.0,"From main system, no cylinder thermostat",Average,Average,"Solid, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 28% of fixed outlets,Average,Average,mains gas - this is for backwards compatibility only and should not be used,0.0,NO DATA!,,2.35,0.0,N,natural,"35, Welby Crescent, Winnersh",Wokingham,Wokingham,WOKINGHAM,England and Wales: 1967-1975,2010-11-12 13:44:49,rental (private),,,14032484.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
6,487259074252012120407195791229074,"36, Bideford Close",Woodley,,RG5 3SE,413416768,D,C,59,73,House,Semi-Detached,2012-11-20,E06000041,E14000889,,2012-12-04,marketed sale,58,72,228,144.0,4.2,43,2.7,93.0,51.0,783.0,712.0,49.0,49.0,96.0,Single,Y,NODATA!,,,2104.0,,not defined,Much More Than Typical,1.0,5.0,5.0,19.0,0.0,From main system,Good,Good,"Suspended, no insulation (assumed)",,,Fully double glazed,Average,Average,"Cavity wall, as built, no insulation (assumed)",Poor,Poor,"Room heaters, electric",,,"Roof room(s), limited insulation (assumed)",Poor,Poor,"Boiler and radiators, mains gas",Good,Good,Programmer and room thermostat,Average,Average,Low energy lighting in 19% of fixed outlets,Poor,Poor,mains gas (not community),0.0,NO DATA!,,,0.0,,natural,"36, Bideford Close, Woodley",Wokingham,Reading East,READING,England and Wales: 1967-1975,2012-12-04 07:19:57,owner-occupied,21.0,4.0,14023226.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
7,1664530921832018091908424534978809,"47, Jasmine Square",Woodley,,RG5 4DY,2914830678,B,A,85,93,House,Detached,2018-09-19,E06000041,E14000889,,2018-09-19,new dwelling,85,93,73,27.0,2.0,13,0.8,85.0,85.0,304.0,306.0,107.0,58.0,156.0,standard tariff,,NO DATA!,,,,,NO DATA!,NO DATA!,,,,100.0,0.0,From main system,Good,Good,Average thermal transmittance 0.16 W/m-¦K,Very Good,Very Good,High performance glazing,Very Good,Very Good,Average thermal transmittance 0.24 W/m-¦K,Very Good,Very Good,,,,Average thermal transmittance 0.1 W/m-¦K,Very Good,Very Good,"Boiler and radiators, mains gas",Good,Good,Time and temperature zone control,Very Good,Very Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas - this is for backwards compatibility only and should not be used,,NO DATA!,,,,,NO DATA!,"47, Jasmine Square, Woodley",Wokingham,Reading East,READING,NO DATA!,2018-09-19 08:42:45,unknown,22.0,22.0,10024049965.0,Address Matched,101,data/domestic-E06000041-Wokingham/certificates.csv
8,299cf58f663789ecc06de3933120d80f0533e8f51aa9ed85d807c1bde91033b6,42 LONGS WAY,,,RG40 1QN,10001495656,C,C,72,74,Flat,Semi-Detached,2021-07-20,E06000041,E14001048,,2021-07-20,Stock condition survey,72,76,218,192.0,1.8,38,1.6,42.0,42.0,330.0,293.0,75.0,75.0,47.0,Single,Y,00,N,,,100.0,double glazing installed during or after 2002,Normal,0.0,2.0,2.0,100.0,0.0,From main system,Good,Good,"Solid, no insulation (assumed)",,,Fully double glazed,Good,Good,"Cavity wall, filled cavity",Average,Average,,,,(another dwelling above),,,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in all fixed outlets,Very Good,Very Good,mains gas (not community),0.0,no corridor,,2.43,0.0,N,natural,42 LONGS WAY,Wokingham,Wokingham,WOKINGHAM,England and Wales: 1950-1966,2021-07-20 15:45:52,Rented (social),6.0,,14053028.0,Energy Assessor,100,data/domestic-E06000041-Wokingham/certificates.csv
9,1205438625712018030908182298080028,"6, Poundfield Way",Twyford,,RG10 0XR,829587278,D,B,62,84,House,Detached,2018-03-08,E06000041,E14000803,,2018-03-09,marketed sale,55,82,244,87.0,4.7,43,1.7,111.0,72.0,729.0,481.0,174.0,75.0,109.0,Single,Y,NODATA!,,,2106.0,100.0,double glazing installed before 2002,Normal,0.0,6.0,6.0,46.0,0.0,From main system,Average,Average,"Suspended, no insulation (assumed)",NO DATA!,,Fully double glazed,Average,Average,"Timber frame, as built, insulated (assumed)",Good,Good,,,,"Pitched, 100 mm loft insulation",Average,Average,"Boiler and radiators, mains gas",Good,Good,"Programmer, room thermostat and TRVs",Good,Good,Low energy lighting in 46% of fixed outlets,Good,Good,mains gas (not community),0.0,NO DATA!,,,,N,natural,"6, Poundfield Way, Twyford",Wokingham,Maidenhead,READING,England and Wales: 1991-1995,2018-03-09 08:18:22,owner-occupied,,,14041526.0,Address Matched,100,data/domestic-E06000041-Wokingham/certificates.csv
