,unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri,source_file,combined_address,ADDRESS_V1,fuzzy_match,match_confidence
0,E2D14905-119C-4C2D-E053-6B04A8C0422B,582000,2022-06-06,HP13 5AA,S,N,F,nan,49,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E2D14905-119C-4C2D-E053-6B04A8C0422B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,49 amersham road nan hp13 5aa,49 AMERSHAM ROAD HP13 5AA,49 amersham road hp13 5aa,92.5925925925926
1,2ACACE8C-96D3-295E-E063-4804A8C0B0EB,655000,2024-12-12,HP13 5AA,S,N,F,nan,67,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8C-96D3-295E-E063-4804A8C0B0EB/current,./data-land_registry/HP13-march2020-to-nov2025.csv,67 amersham road nan hp13 5aa,67 AMERSHAM ROAD HP13 5AA,67a amersham road hp13 5aa,90.9090909090909
2,D4D42645-4622-27F6-E053-6C04A8C0A572,560000,2021-10-28,HP13 5AA,S,N,F,nan,67,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/D4D42645-4622-27F6-E053-6C04A8C0A572/current,./data-land_registry/HP13-march2020-to-nov2025.csv,67 amersham road nan hp13 5aa,67 AMERSHAM ROAD HP13 5AA,67a amersham road hp13 5aa,90.9090909090909
3,34222871-FD7A-4D2B-E063-4704A8C07853,375000,2025-03-31,HP13 5AB,T,N,F,nan,134,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/34222871-FD7A-4D2B-E063-4704A8C07853/current,./data-land_registry/HP13-march2020-to-nov2025.csv,134 amersham road nan hp13 5ab,134 AMERSHAM ROAD HP13 5AB,134 amersham road hp13 5ab,92.85714285714286
4,F5E8B080-E8B1-3A13-E053-6C04A8C060B7,440000,2023-01-20,HP13 5AD,S,N,F,nan,145,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/F5E8B080-E8B1-3A13-E053-6C04A8C060B7/current,./data-land_registry/HP13-march2020-to-nov2025.csv,145 amersham road nan hp13 5ad,145 AMERSHAM ROAD HP13 5AD,145 amersham road hp13 5ad,92.85714285714286
5,E7B085FB-D13C-7E31-E053-6C04A8C0E67F,475000,2022-08-02,HP13 5AE,S,N,F,nan,149,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E7B085FB-D13C-7E31-E053-6C04A8C0E67F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,149 amersham road nan hp13 5ae,149 AMERSHAM ROAD HP13 5AE,149 amersham road hp13 5ae,92.85714285714286
6,E073986A-D2E8-2134-E053-6C04A8C0233B,365000,2022-04-26,HP13 5AE,S,N,F,nan,151,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E073986A-D2E8-2134-E053-6C04A8C0233B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,151 amersham road nan hp13 5ae,151 AMERSHAM ROAD HP13 5AE,151 amersham road hp13 5ae,92.85714285714286
7,2D4D7608-A55B-BDF9-E063-4804A8C0672F,427500,2025-01-06,HP13 5AE,S,N,F,nan,153,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7608-A55B-BDF9-E063-4804A8C0672F/current,./data-land_registry/HP13-march2020-to-nov2025.csv,153 amersham road nan hp13 5ae,153 AMERSHAM ROAD HP13 5AE,153 amersham road hp13 5ae,92.85714285714286
8,BEF7EBBE-9576-7A76-E053-6B04A8C092F7,390000,2021-01-12,HP13 5AE,S,N,F,nan,153,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/BEF7EBBE-9576-7A76-E053-6B04A8C092F7/current,./data-land_registry/HP13-march2020-to-nov2025.csv,153 amersham road nan hp13 5ae,153 AMERSHAM ROAD HP13 5AE,153 amersham road hp13 5ae,92.85714285714286
9,E2D14905-11E5-4C2D-E053-6B04A8C0422B,615000,2022-06-06,HP13 5AE,S,N,F,nan,155,AMERSHAM ROAD,,HIGH WYCOMBE,BUCKINGHAMSHIRE,BUCKINGHAMSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/E2D14905-11E5-4C2D-E053-6B04A8C0422B/current,./data-land_registry/HP13-march2020-to-nov2025.csv,155 amersham road nan hp13 5ae,155 AMERSHAM ROAD HP13 5AE,155 amersham road hp13 5ae,92.85714285714286
